,ICOL,IROW,ILAY,INODE,IBOUND,NTOP,NBOT,X,Y,THICKNESS,OUTCROP,Depth,kx,SS,rch
230596,2,218,7,230597,1,531.9609,531.4609,553250,7118750,0.5,Y,0.25,6.203395,-0.021985425,
230597,3,218,7,230598,1,544.4035,527.1786,554750,7118750,17.224900000000048,Y,8.612449999999967,6.44538,-0.021985425,
230598,4,218,7,230599,1,536.6144,515.0743,556250,7118750,21.540100000000052,Y,10.77004999999997,6.70255,-0.021985425,
230599,5,218,7,230600,1,522.1621,504.1563,557750,7118750,18.005800000000022,Y,9.002899999999954,6.973149,-0.021985425,
230600,11,218,7,230601,1,570.1292,515.7291,566750,7118750,54.40009999999995,Y,27.200050000000033,8.558723,-2.1985424e-06,
230601,12,218,7,230602,1,508.3389,497.8888,568250,7118750,10.45010000000002,Y,5.22505000000001,8.712826,-2.1985424e-06,
230602,34,218,7,230603,1,475.6279,470.8837,601250,7118750,4.744200000000035,Y,2.372099999999989,0.2345914,-0.021985425,
230603,35,218,7,230604,1,492.7538,474.6524,602750,7118750,18.101400000000012,Y,9.050700000000006,0.1879239,-0.021985425,
230604,36,218,7,230605,1,502.7647,474.8482,604250,7118750,27.916499999999985,N,24.792550000000006,0.1537063,1.33e-05,
230605,37,218,7,230606,1,502.0802,475.3831,605750,7118750,26.697099999999978,N,69.65794999999997,0.128748,1.33e-05,
230606,38,218,7,230607,1,503.2217,477.0488,607250,7118750,26.17289999999997,N,106.20184999999992,0.1107252,1.33e-05,
230607,39,218,7,230608,1,505.867,479.3145,608750,7118750,26.55250000000001,N,66.70194999999995,0.097973174,1.33e-05,
230608,40,218,7,230609,1,509.0805,480.7702,610250,7118750,28.310299999999984,N,68.17345,0.089322377,1.33e-05,
230609,41,218,7,230610,1,512.0011,481.4248,611750,7118750,30.576299999999947,N,55.79994999999997,0.083975326,1.33e-05,
230610,42,218,7,230611,1,515.357,481.6821,613250,7118750,33.67489999999998,N,88.68484999999998,0.08141727,1.33e-05,
230611,43,218,7,230612,1,519.9312,482.1501,614750,7118750,37.78109999999998,N,120.40395000000001,0.081353218,1.33e-05,
230612,44,218,7,230613,1,526.1279,483.7822,616250,7118750,42.345699999999965,N,75.56965000000008,0.083665,1.33e-05,
230613,45,218,7,230614,1,534.4256,487.3605,617750,7118750,47.06510000000003,N,69.76405,0.088382737,1.33e-05,
230614,46,218,7,230615,1,546.3093,493.068,619250,7118750,53.241300000000024,N,76.4990499999999,0.095665792,1.33e-05,
230615,47,218,7,230616,1,563.693,500.5372,620750,7118750,63.1558,N,78.30740000000003,0.1057887,1.33e-05,
230616,48,218,7,230617,1,584.3546,509.5974,622250,7118750,74.75720000000001,N,70.36490000000003,0.1191275,1.33e-05,
230617,49,218,7,230618,1,600.2473,523.2859,623750,7118750,76.96140000000003,N,103.84170000000006,0.1361422,1.33e-05,
230618,50,218,7,230619,1,607.9366,540.2466,625250,7118750,67.69000000000005,N,110.63980000000004,0.1573497,1.33e-05,
230619,51,218,7,230620,1,640.4992,557.3536,626750,7118750,83.14559999999994,Y,41.572799999999916,0.1832836,-0.021985425,
230620,1,219,7,230621,1,541.0193,540.5193,551750,7117250,0.5,N,1.994199999999978,6.263241,1.33e-05,
230621,2,219,7,230622,1,538.2884,533.2682,553250,7117250,5.020200000000045,N,15.925200000000018,6.469709,1.33e-05,
230622,3,219,7,230623,1,538.5123,521.5635,554750,7117250,16.948800000000006,N,29.731899999999996,6.683616,1.33e-05,
230623,4,219,7,230624,1,520.7578,511.7718,556250,7117250,8.98599999999999,Y,4.493000000000052,6.903512,-0.021985425,
230624,5,219,7,230625,1,506.2074,501.4748,557750,7117250,4.732599999999991,N,2.99350000000004,7.126949,1.33e-05,
230625,8,219,7,230626,1,539.4299,522.9077,562250,7117250,16.522199999999998,Y,8.261100000000056,7.774105,-2.1985424e-06,
230626,9,219,7,230627,1,590.9366,530.8273,563750,7117250,60.10929999999996,Y,30.054650000000038,7.958895,-2.1985424e-06,
230627,10,219,7,230628,1,536.4372,520.896,565250,7117250,15.541200000000003,Y,7.770599999999945,8.111665,-2.1985424e-06,
230628,11,219,7,230629,1,622.7037,507.1228,566750,7117250,115.58090000000004,Y,57.790449999999964,8.219378,-2.1985424e-06,
230629,12,219,7,230630,1,518.9269,491.1237,568250,7117250,27.80320000000006,Y,13.90160000000003,8.267295,-0.021985425,
230630,13,219,7,230631,1,492.6402,474.4256,569750,7117250,18.21460000000002,Y,9.10730000000001,8.239806,-0.021985425,
230631,16,219,7,230632,1,444.1003,438.7174,574250,7117250,5.3829000000000065,Y,2.691449999999975,7.568832,-0.021985425,
230632,33,219,7,230633,1,468.9008,448.8833,599750,7117250,20.017499999999984,Y,10.008749999999964,0.2520195,-0.021985425,
230633,34,219,7,230634,1,484.8817,455.4423,601250,7117250,29.439400000000035,Y,14.719699999999989,0.1985302,-0.021985425,
230634,35,219,7,230635,1,490.3546,460.008,602750,7117250,30.346600000000024,N,38.269000000000005,0.1592305,1.33e-05,
230635,36,219,7,230636,1,492.8648,462.1476,604250,7117250,30.71719999999999,N,99.92169999999999,0.1304748,1.33e-05,
230636,37,219,7,230637,1,493.042,463.3813,605750,7117250,29.660699999999963,N,116.23885000000007,0.1095674,1.33e-05,
230637,38,219,7,230638,1,493.8322,465.4097,607250,7117250,28.422500000000014,N,114.62554999999998,0.094550026,1.33e-05,
230638,39,219,7,230639,1,495.8312,467.2572,608750,7117250,28.574000000000012,N,82.6522,0.084025492,1.33e-05,
230639,40,219,7,230640,1,498.7057,468.6637,610250,7117250,30.041999999999973,N,55.12080000000003,0.077020199,1.33e-05,
230640,41,219,7,230641,1,501.8599,469.6694,611750,7117250,32.190499999999986,N,109.37905,0.07288109,1.33e-05,
230641,42,219,7,230642,1,505.6699,470.5626,613250,7117250,35.10730000000001,N,122.41545000000002,0.071201711,1.33e-05,
230642,43,219,7,230643,1,510.8009,471.8772,614750,7117250,38.9237,N,117.89004999999997,0.071771327,1.33e-05,
230643,44,219,7,230644,1,517.7849,474.234,616250,7117250,43.55090000000001,N,75.43094999999994,0.074541668,1.33e-05,
230644,45,219,7,230645,1,527.0908,478.2429,617750,7117250,48.847899999999925,N,98.00795000000005,0.079606555,1.33e-05,
230645,46,219,7,230646,1,539.6472,483.9952,619250,7117250,55.65199999999999,N,105.44780000000003,0.087190084,1.33e-05,
230646,47,219,7,230647,1,556.4764,491.1193,620750,7117250,65.3571,N,103.85714999999993,0.097639164,1.33e-05,
230647,48,219,7,230648,1,574.8672,499.3432,622250,7117250,75.524,N,100.55669999999998,0.1114158,1.33e-05,
230648,49,219,7,230649,1,587.9681,510.9293,623750,7117250,77.03880000000004,N,107.70819999999992,0.1290842,1.33e-05,
230649,50,219,7,230650,1,591.1216,526.3111,625250,7117250,64.81049999999993,N,106.24955000000011,0.151286,1.33e-05,
230650,51,219,7,230651,1,579.5998,541.9756,626750,7117250,37.62419999999997,N,27.88549999999998,0.1786989,1.33e-05,
230651,1,220,7,230652,1,536.7394,534.5184,551750,7115750,2.2210000000000036,N,10.85820000000001,6.567887,1.33e-05,
230652,2,220,7,230653,1,532.1288,527.3196,553250,7115750,4.809199999999919,N,39.11159999999995,6.750027,1.33e-05,
230653,3,220,7,230654,1,525.6165,517.3207,554750,7115750,8.295799999999986,N,27.424900000000093,6.930167,1.33e-05,
230654,4,220,7,230655,1,513.2181,507.8404,556250,7115750,5.377700000000061,N,28.198849999999993,7.106253,1.33e-05,
230655,5,220,7,230656,1,503.2772,498.7939,557750,7115750,4.483299999999986,N,12.272650000000056,7.275477,1.33e-05,
230656,6,220,7,230657,1,495.0306,490.4869,559250,7115750,4.543700000000001,N,8.771150000000034,7.434088,1.33e-05,
230657,9,220,7,230658,1,566.3724,519.3314,563750,7115750,47.04099999999994,Y,23.52049999999997,7.790933,-2.1985424e-06,
230658,10,220,7,230659,1,519.1371,511.6761,565250,7115750,7.461000000000013,Y,3.7305000000000064,7.844933,-2.1985424e-06,
230659,11,220,7,230660,1,580.8566,497.9767,566750,7115750,82.87989999999996,Y,41.43994999999995,7.850418,-2.1985424e-06,
230660,12,220,7,230661,1,513.1154,481.4604,568250,7115750,31.65500000000003,Y,15.827499999999986,7.796306,-0.021985425,
230661,13,220,7,230662,1,478.2534,465.0559,569750,7115750,13.197499999999991,N,14.90994999999998,7.671522,1.33e-05,
230662,14,220,7,230663,1,457.6176,451.0199,571250,7115750,6.597699999999975,Y,3.298849999999959,7.466222,-0.021985425,
230663,15,220,7,230664,1,443.2428,441.2622,572750,7115750,1.9805999999999813,Y,0.9902999999999906,7.173385,-0.021985425,
230664,16,220,7,230665,1,445.6725,437.0069,574250,7115750,8.66560000000004,Y,4.33280000000002,6.790573,-0.021985425,
230665,31,220,7,230666,1,451.7119,440.3714,596750,7115750,11.34050000000002,Y,5.67025000000001,0.3547366,-0.021985425,
230666,32,220,7,230667,1,459.6549,437.9746,598250,7115750,21.68029999999999,Y,10.840149999999994,0.2727065,-0.021985425,
230667,33,220,7,230668,1,462.0845,437.9764,599750,7115750,24.10809999999998,N,24.45765,0.2119044,1.33e-05,
230668,34,220,7,230669,1,471.5782,441.9896,601250,7115750,29.588599999999985,N,101.02710000000002,0.1670871,1.33e-05,
230669,35,220,7,230670,1,477.2298,445.7027,602750,7115750,31.52710000000002,N,70.72954999999996,0.1341995,1.33e-05,
230670,36,220,7,230671,1,479.9338,448.3043,604250,7115750,31.629500000000007,N,142.97225000000003,0.1101836,1.33e-05,
230671,37,220,7,230672,1,481.2267,450.4512,605750,7115750,30.775500000000022,N,145.2491500000001,0.092780806,1.33e-05,
230672,38,220,7,230673,1,482.4616,452.341,607250,7115750,30.120599999999968,N,141.1196,0.080353911,1.33e-05,
230673,39,220,7,230674,1,484.6331,454.0244,608750,7115750,30.6087,N,94.79894999999999,0.071740265,1.33e-05,
230674,40,220,7,230675,1,487.2512,455.4989,610250,7115750,31.75229999999999,N,65.76004999999998,0.066137335,1.33e-05,
230675,41,220,7,230676,1,490.3013,456.8343,611750,7115750,33.46700000000004,N,120.68679999999995,0.063017771,1.33e-05,
230676,42,220,7,230677,1,494.1403,458.2574,613250,7115750,35.88290000000001,N,132.73135000000002,0.062069388,1.33e-05,
230677,43,220,7,230678,1,499.3126,460.1724,614750,7115750,39.14019999999999,N,135.5431000000001,0.063155223,1.33e-05,
230678,44,220,7,230679,1,506.3681,463.067,616250,7115750,43.30110000000002,N,89.16514999999998,0.066289255,1.33e-05,
230679,45,220,7,230680,1,515.7231,467.2911,617750,7115750,48.43200000000007,N,97.39580000000001,0.07162388,1.33e-05,
230680,46,220,7,230681,1,527.9974,472.9252,619250,7115750,55.07219999999995,N,98.62359999999995,0.079445423,1.33e-05,
