INODE,X,Y,ILAY,head_predev_m
230983,766250,7106750,7,350.4405
230984,767750,7106750,7,353.2453
230985,551750,7105250,7,408.2129
230986,553250,7105250,7,408.1067
230987,554750,7105250,7,407.8723
230988,556250,7105250,7,407.5041
230989,557750,7105250,7,407.0018
230990,559250,7105250,7,406.3567
230991,560750,7105250,7,405.5504
230992,562250,7105250,7,404.5709
230993,563750,7105250,7,403.4286
230994,565250,7105250,7,402.189
230995,566750,7105250,7,401.0281
230996,568250,7105250,7,400.016
230997,569750,7105250,7,399.0984
230998,571250,7105250,7,398.2271
230999,572750,7105250,7,397.3522
231000,574250,7105250,7,396.4484
231001,575750,7105250,7,395.4749
231002,577250,7105250,7,394.3863
231003,578750,7105250,7,393.1164
231004,580250,7105250,7,391.567
231005,581750,7105250,7,389.609
231006,583250,7105250,7,387.1501
231007,584750,7105250,7,384.0556
231008,586250,7105250,7,379.9953
231009,587750,7105250,7,374.1481
231010,589250,7105250,7,369.7807
231011,590750,7105250,7,366.4266
231012,592250,7105250,7,370.7083
231013,593750,7105250,7,374.9915
231014,595250,7105250,7,379.8413
231015,596750,7105250,7,384.7574
231016,598250,7105250,7,389.6842
231017,599750,7105250,7,394.7728
231018,601250,7105250,7,399.9017
231019,602750,7105250,7,404.9783
231020,604250,7105250,7,410.0456
231021,605750,7105250,7,415.0284
231022,607250,7105250,7,419.8631
231023,608750,7105250,7,424.9075
231024,610250,7105250,7,429.8404
231025,611750,7105250,7,434.2925
231026,613250,7105250,7,437.7068
231027,614750,7105250,7,439.0171
231028,616250,7105250,7,440.8431
231029,617750,7105250,7,439.5322
231030,619250,7105250,7,436.1837
231031,620750,7105250,7,431.4311
231032,622250,7105250,7,424.8448
231033,623750,7105250,7,417.4203
231034,625250,7105250,7,410.1676
231035,626750,7105250,7,403.3651
231036,628250,7105250,7,397.0718
231037,629750,7105250,7,391.3561
231038,631250,7105250,7,386.44
231039,632750,7105250,7,382.5944
231040,634250,7105250,7,379.728
231041,635750,7105250,7,377.1836
231042,637250,7105250,7,374.4444
231043,656750,7105250,7,384.4279
231044,766250,7105250,7,358.8874
231045,767750,7105250,7,360.4246
231046,769250,7105250,7,356.1381
231047,551750,7103750,7,407.172
231048,553250,7103750,7,407.0798
231049,554750,7103750,7,406.8705
231050,556250,7103750,7,406.5439
231051,557750,7103750,7,406.098
231052,559250,7103750,7,405.5274
231053,560750,7103750,7,404.8243
231054,562250,7103750,7,403.9832
231055,563750,7103750,7,403.0049
231056,565250,7103750,7,401.9157
231057,566750,7103750,7,400.8108
231058,568250,7103750,7,399.7846
231059,569750,7103750,7,398.8411
231060,571250,7103750,7,397.9275
231061,572750,7103750,7,397.0016
231062,574250,7103750,7,396.0362
231063,575750,7103750,7,394.9921
231064,577250,7103750,7,393.8255
231065,578750,7103750,7,392.4744
231066,580250,7103750,7,390.8418
231067,581750,7103750,7,388.8127
231068,583250,7103750,7,386.3852
231069,584750,7103750,7,383.4666
231070,586250,7103750,7,379.6798
231071,587750,7103750,7,374.6031
231072,589250,7103750,7,368.5853
231073,590750,7103750,7,365.1509
231074,592250,7103750,7,367.7751
231075,593750,7103750,7,371.6606
231076,595250,7103750,7,376.3259
231077,596750,7103750,7,380.9075
231078,598250,7103750,7,385.4777
231079,599750,7103750,7,390.2855
231080,601250,7103750,7,395.2724
231081,602750,7103750,7,400.1681
231082,604250,7103750,7,405.0132
231083,605750,7103750,7,409.8677
231084,607250,7103750,7,414.6367
231085,608750,7103750,7,419.2689
231086,610250,7103750,7,423.6683
231087,611750,7103750,7,427.5969
231088,613250,7103750,7,430.6318
231089,614750,7103750,7,432.1882
231090,616250,7103750,7,432.1365
231091,617750,7103750,7,429.7039
231092,619250,7103750,7,425.4509
231093,620750,7103750,7,420.183
231094,622250,7103750,7,413.3746
231095,623750,7103750,7,406.4206
231096,625250,7103750,7,399.8763
231097,626750,7103750,7,393.8761
231098,628250,7103750,7,388.6567
231099,629750,7103750,7,384.1484
231100,631250,7103750,7,380.3531
231101,632750,7103750,7,377.3155
231102,634250,7103750,7,374.8396
231103,635750,7103750,7,372.2077
231104,637250,7103750,7,369.7912
231105,638750,7103750,7,367.6425
231106,653750,7103750,7,374.3142
231107,655250,7103750,7,377.5087
231108,656750,7103750,7,380.2103
231109,658250,7103750,7,380.4521
231110,659750,7103750,7,382.5996
231111,766250,7103750,7,356.3249
231112,551750,7102250,7,406.1989
231113,553250,7102250,7,406.118
231114,554750,7102250,7,405.9329
231115,556250,7102250,7,405.6436
231116,557750,7102250,7,405.2469
231117,559250,7102250,7,404.7399
231118,560750,7102250,7,404.1178
231119,562250,7102250,7,403.3766
231120,563750,7102250,7,402.518
231121,565250,7102250,7,401.5557
231122,566750,7102250,7,400.5237
231123,568250,7102250,7,399.5073
231124,569750,7102250,7,398.5588
231125,571250,7102250,7,397.617
231126,572750,7102250,7,396.65
231127,574250,7102250,7,395.6247
231128,575750,7102250,7,394.5124
231129,577250,7102250,7,393.2783
231130,578750,7102250,7,391.8649
231131,580250,7102250,7,390.1852
231132,581750,7102250,7,388.1561
231133,583250,7102250,7,385.7596
231134,584750,7102250,7,382.8278
231135,586250,7102250,7,379.0213
231136,587750,7102250,7,373.9108
231137,589250,7102250,7,367.2556
231138,590750,7102250,7,364.0154
231139,592250,7102250,7,365.0582
231140,593750,7102250,7,368.6018
231141,595250,7102250,7,373.0268
231142,596750,7102250,7,377.4344
231143,598250,7102250,7,381.8415
231144,599750,7102250,7,386.3677
231145,601250,7102250,7,390.9966
231146,602750,7102250,7,395.6368
231147,604250,7102250,7,400.3113
231148,605750,7102250,7,404.9684
231149,607250,7102250,7,409.4926
231150,608750,7102250,7,413.7553
231151,610250,7102250,7,417.6637
231152,611750,7102250,7,420.9969
231153,613250,7102250,7,423.3591
231154,614750,7102250,7,424.2829
231155,616250,7102250,7,423.2244
231156,617750,7102250,7,420.0751
231157,619250,7102250,7,415.3001
