RN,YEAR,PROP_ID,GIS_LAT,GIS_LNG,IN_CMA,IN_AOI,BORE_TYPE,BORE_STATUS,OGIA_P3,FM_GROUP,MainAq,FORMATION,LAYER,REL_T,SD_Prop_Dry,SD_Prop_Av,SD_Prop_Wet,SI_Prop_Dry,SI_Prop_Av,SI_Prop_Wet,SD_Bore_Dry,SD_Bore_Av,SD_Bore_Wet,SI_Bore_Dry,SI_Bore_Av,SI_Bore_Wet,BoreYld,YldAuthPCT,SHARE_ENT_EVEN,SHARE_ENT_YLD,AUTH_REFS,NOM_ENT,NSD_Bore_Wet,NSD_Bore_Av,NSD_Bore_Dry,GMA,Limitation,WU_SOURCE,Metered_Bore,Metered_Prop,Metered_Source,ClimateZone,Climate,SD_Prop,SI_Prop,NSD_Bore,SD_Bore,SI_Bore,SI_TYPE,WU_CLASS,ML_Bore,ML_Aquifer
130301,2024,41262069,-25.58720307,151.1935542,,,WS,EX,Irrigation,Surat_Basin,1,Precipice Sandstone,24,1,1.5,1.35,1.2,,,,0.136363636,0.122727273,0.109090909,0,0,0,334.1910973,50,79,79,608711,158,63.2,71.1,79,,,WMS,Y,Y,WMS,Zone5,Wet,1.35,,63.2,0.122727273,0,,Metered Bore,136.95,136.95
130302,2024,41262069,-25.58860891,151.1948172,,,WS,EX,Irrigation,Surat_Basin,1,Precipice Sandstone,24,1,1.5,1.35,1.2,,,,0.136363636,0.122727273,0.109090909,0,0,0,334.1910973,50,79,79,608711,158,63.2,71.1,79,,,WMS,Y,Y,WMS,Zone5,Wet,1.35,,63.2,0.122727273,0,,Metered Bore,107.83,107.83
137264,2024,41265969,-27.0255556,151.7975,,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,1.916745945,1.766745945,1.616745945,,,,1.916745945,1.766745945,1.616745945,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,1.766745945,,,1.766745945,0,,S&D,1.766745945,1.766745945
173703,2024,41269483,-27.60722222,152.1047222,,,WS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,1.5,1.35,1.2,,,,1.5,1.35,1.2,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,1.35,,,1.35,0,,S&D,1.35,1.35
130278,2024,41271517,-25.70880406,151.1693858,,,WS,EX,Irrigation,Surat_Basin,1,Precipice Sandstone,24,1,1.5,1.35,1.2,,,,0.214285714,0.192857143,0.171428571,0,0,0,334.1910973,26.10315096,30,15.66189058,401075,60,12.52951246,14.09570152,15.66189058,,,Entitlement,,Y,,Zone5,Wet,1.35,,12.52951246,0.192857143,0,,Metered Prop,0,0
130584,2024,41271517,-25.7080715,151.1653368,,,WS,EX,Irrigation,Surat_Basin,1,Precipice Sandstone,24,1,1.5,1.35,1.2,,,,0.214285714,0.192857143,0.171428571,0,0,0,946.08,73.89684904,30,44.33810942,401075,60,35.47048754,39.90429848,44.33810942,,,WMS,Y,Y,WMS,Zone5,Wet,1.35,,35.47048754,0.192857143,0,,Metered Bore,130.93,130.93
130601,2024,41271517,-25.7088889,151.1722222,,,WS,AD,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,1.5,1.35,1.2,,,,0.214285714,0.192857143,0.171428571,0,0,0,,,,,,,,,,,,S&D demand,,Y,,Zone5,Wet,1.35,,,0.192857143,0,,Metered Prop,0,0
130602,2024,41271517,-25.7088889,151.1741667,,,WS,AD,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,1.5,1.35,1.2,,,,0.214285714,0.192857143,0.171428571,0,0,0,,,,,,,,,,,,S&D demand,,Y,,Zone5,Wet,1.35,,,0.192857143,0,,Metered Prop,0,0
207087,2024,41278372,-26.12324784,150.0883815,Y,Y,PWS,EX,Stock_Domestic,Surat_Basin,1,Precipice Sandstone,24,1,6.572274587,3.523831966,1.2,,,,2.190758196,1.174610655,0.4,0,0,0,,,,,,,,,,,,S&D demand,,,,Zone5,Wet,3.523831966,,,1.174610655,0,,S&D,1.174610655,1.174610655
208075,2024,41285587,-27.34277,152.07843,,,WS,EX,Agric_Other,Surat_Basin,1,Precipice Sandstone,24,1,1.606817851,1.456817851,1.306817851,,,,0.53560595,0.48560595,0.43560595,0,0,0,89.24688,100,50,50,624739,50,40,45,50,,,Entitlement,,,,Zone5,Wet,1.456817851,,40,0.48560595,0,,Ent,40.48560595,40.48560595
