INODE,X,Y,ILAY,head_predev_m
1030806,616250,7234250,24,608.6983
1030807,617750,7234250,24,602.7677
1030808,619250,7234250,24,597.2275
1030809,620750,7234250,24,592.1321
1030810,622250,7234250,24,588.6519
1030811,623750,7234250,24,586.7666
1030812,625250,7234250,24,586.8241
1030813,733250,7234250,24,350.943
1030814,734750,7234250,24,351.6904
1030815,736250,7234250,24,353.0562
1030816,737750,7234250,24,354.1654
1030817,739250,7234250,24,354.7824
1030818,740750,7234250,24,354.0008
1030819,742250,7234250,24,351.435
1030820,743750,7234250,24,346.3727
1030821,745250,7234250,24,338.2502
1030822,746750,7234250,24,334.2505
1030823,748250,7234250,24,331.5293
1030824,749750,7234250,24,329.0784
1030825,751250,7234250,24,326.6063
1030826,752750,7234250,24,324.3243
1030827,754250,7234250,24,322.2365
1030828,755750,7234250,24,320.2356
1030829,757250,7234250,24,318.0816
1030830,758750,7234250,24,315.4743
1030831,760250,7234250,24,312.0736
1030832,761750,7234250,24,307.6593
1030833,763250,7234250,24,302.7061
1030834,764750,7234250,24,298.3267
1030835,766250,7234250,24,295.2148
1030836,767750,7234250,24,293.3106
1030837,769250,7234250,24,295.4719
1030838,772250,7234250,24,302.1881
1030839,551750,7232750,24,640.7394
1030840,557750,7232750,24,676.6083
1030841,563750,7232750,24,603.3591
1030842,565250,7232750,24,603.9822
1030843,566750,7232750,24,605.4375
1030844,568250,7232750,24,605.3304
1030845,569750,7232750,24,605.1064
1030846,571250,7232750,24,604.2921
1030847,572750,7232750,24,604.7755
1030848,574250,7232750,24,605.1592
1030849,575750,7232750,24,605.6258
1030850,577250,7232750,24,605.7551
1030851,578750,7232750,24,605.8822
1030852,580250,7232750,24,605.986
1030853,581750,7232750,24,605.9732
1030854,583250,7232750,24,605.9919
1030855,584750,7232750,24,605.932
1030856,586250,7232750,24,606.0452
1030857,587750,7232750,24,606.1379
1030858,589250,7232750,24,606.2737
1030859,590750,7232750,24,606.112
1030860,592250,7232750,24,606.0318
1030861,593750,7232750,24,605.9467
1030862,595250,7232750,24,605.909
1030863,596750,7232750,24,605.8246
1030864,598250,7232750,24,605.8353
1030865,599750,7232750,24,605.9182
1030866,601250,7232750,24,606.0735
1030867,602750,7232750,24,606.3142
1030868,604250,7232750,24,606.6516
1030869,605750,7232750,24,607.0264
1030870,607250,7232750,24,607.2388
1030871,608750,7232750,24,607.1507
1030872,610250,7232750,24,606.726
1030873,611750,7232750,24,605.9546
1030874,613250,7232750,24,605.1505
1030875,614750,7232750,24,603.9383
1030876,617750,7232750,24,597.6254
1030877,619250,7232750,24,592.7732
1030878,620750,7232750,24,588.0883
1030879,622250,7232750,24,584.5921
1030880,623750,7232750,24,582.9776
1030881,730250,7232750,24,377.3484
1030882,731750,7232750,24,374.0416
1030883,733250,7232750,24,365.276
1030884,734750,7232750,24,361.6219
1030885,736250,7232750,24,360.3959
1030886,737750,7232750,24,359.5126
1030887,739250,7232750,24,358.1163
1030888,740750,7232750,24,356.1082
1030889,742250,7232750,24,352.9756
1030890,743750,7232750,24,348.7156
1030891,745250,7232750,24,343.558
1030892,746750,7232750,24,339.2628
1030893,748250,7232750,24,335.7496
1030894,749750,7232750,24,332.5142
1030895,751250,7232750,24,329.2962
1030896,752750,7232750,24,326.4033
1030897,754250,7232750,24,323.9115
1030898,755750,7232750,24,321.6282
1030899,757250,7232750,24,319.3164
1030900,758750,7232750,24,316.7404
1030901,760250,7232750,24,313.666
1030902,761750,7232750,24,309.9578
1030903,763250,7232750,24,305.9464
1030904,764750,7232750,24,302.3392
1030905,766250,7232750,24,299.6135
1030906,767750,7232750,24,297.9041
1030907,769250,7232750,24,297.9
1030908,770750,7232750,24,299.0694
1030909,772250,7232750,24,300.7666
1030910,554750,7231250,24,619.6798
1030911,557750,7231250,24,664.1748
1030912,560750,7231250,24,603.3486
1030913,562250,7231250,24,602.3389
1030914,563750,7231250,24,602.349
1030915,565250,7231250,24,602.6499
1030916,566750,7231250,24,603.2281
1030917,568250,7231250,24,603.3357
1030918,569750,7231250,24,603.2399
1030919,571250,7231250,24,603.2279
1030920,572750,7231250,24,603.5688
1030921,574250,7231250,24,604.0305
1030922,575750,7231250,24,604.5242
1030923,577250,7231250,24,604.8115
1030924,578750,7231250,24,605.0517
