INODE,X,Y,ILAY,head_predev_m
782296,757250,7192250,19,227.0207
782297,758750,7192250,19,226.4346
782298,760250,7192250,19,225.8224
782299,761750,7192250,19,225.1678
782300,763250,7192250,19,224.4303
782301,764750,7192250,19,223.6285
782302,766250,7192250,19,222.7535
782303,767750,7192250,19,221.7983
782304,769250,7192250,19,220.8001
782305,770750,7192250,19,219.7862
782306,772250,7192250,19,218.6935
782307,773750,7192250,19,217.1633
782308,775250,7192250,19,213.1484
782309,776750,7192250,19,213.038
782310,778250,7192250,19,215.2504
782311,551750,7190750,19,600.8198
782312,553250,7190750,19,594.7214
782313,554750,7190750,19,581.7709
782314,559250,7190750,19,600.9845
782315,560750,7190750,19,617.4351
782316,590750,7190750,19,645.4524
782317,595250,7190750,19,618.4725
782318,596750,7190750,19,607.5742
782319,598250,7190750,19,589.2316
782320,599750,7190750,19,561.4701
782321,601250,7190750,19,561.5942
782322,602750,7190750,19,548.7958
782323,604250,7190750,19,534.1103
782324,605750,7190750,19,508.0851
782325,607250,7190750,19,511.6593
782326,608750,7190750,19,521.0431
782327,610250,7190750,19,496.6481
782328,611750,7190750,19,507.2703
782329,613250,7190750,19,495.0714
782330,614750,7190750,19,495.0243
782331,616250,7190750,19,496.7747
782332,617750,7190750,19,507.5664
782333,619250,7190750,19,518.42
782334,620750,7190750,19,521.7947
782335,622250,7190750,19,517.1961
782336,623750,7190750,19,499.4374
782337,625250,7190750,19,498.2962
782338,626750,7190750,19,505.6835
782339,628250,7190750,19,502.0294
782340,629750,7190750,19,522.8885
782341,631250,7190750,19,532.132
782342,632750,7190750,19,534.6807
782343,634250,7190750,19,540.3052
782344,635750,7190750,19,553.4257
782345,637250,7190750,19,555.6246
782346,736250,7190750,19,291.5716
782347,737750,7190750,19,260.1095
782348,739250,7190750,19,246.3395
782349,740750,7190750,19,239.9213
782350,742250,7190750,19,235.9729
782351,743750,7190750,19,233.6441
782352,745250,7190750,19,231.8735
782353,746750,7190750,19,230.6527
782354,748250,7190750,19,229.7781
782355,749750,7190750,19,229.1079
782356,751250,7190750,19,228.4947
782357,752750,7190750,19,227.923
782358,754250,7190750,19,227.3747
782359,755750,7190750,19,226.8417
782360,757250,7190750,19,226.3208
782361,758750,7190750,19,225.7864
782362,760250,7190750,19,225.2077
782363,761750,7190750,19,224.5721
782364,763250,7190750,19,223.8675
782365,764750,7190750,19,223.0921
782366,766250,7190750,19,222.2357
782367,767750,7190750,19,221.2914
782368,769250,7190750,19,220.2655
782369,770750,7190750,19,219.159
782370,772250,7190750,19,217.9315
782371,773750,7190750,19,216.4758
782372,775250,7190750,19,214.5465
782373,776750,7190750,19,213.0183
782374,778250,7190750,19,211.4686
782375,779750,7190750,19,214.7532
782376,781250,7190750,19,213.025
782377,782750,7190750,19,221.7007
782378,784250,7190750,19,223.2884
782379,551750,7189250,19,597.3563
782380,553250,7189250,19,593.0392
782381,554750,7189250,19,585.851
782382,556250,7189250,19,582.1011
782383,563750,7189250,19,613.4129
782384,590750,7189250,19,634.7374
782385,592250,7189250,19,620.7837
782386,595250,7189250,19,610.8268
782387,596750,7189250,19,600.3517
782388,598250,7189250,19,595.1666
782389,599750,7189250,19,582.8994
782390,601250,7189250,19,568.9909
782391,602750,7189250,19,551.48
782392,604250,7189250,19,535.4686
782393,605750,7189250,19,512.7559
782394,607250,7189250,19,505.1405
782395,608750,7189250,19,510.5249
782396,610250,7189250,19,508.9719
782397,611750,7189250,19,487.8926
782398,613250,7189250,19,487.1063
782399,614750,7189250,19,489.2091
782400,616250,7189250,19,499.0485
782401,617750,7189250,19,514.378
782402,619250,7189250,19,520.7817
782403,620750,7189250,19,519.5462
782404,622250,7189250,19,511.8654
782405,623750,7189250,19,496.66
782406,625250,7189250,19,494.8594
782407,626750,7189250,19,497.3123
782408,628250,7189250,19,501.9178
782409,629750,7189250,19,511.542
782410,631250,7189250,19,523.7302
782411,632750,7189250,19,533.8323
782412,634250,7189250,19,536.0079
782413,635750,7189250,19,546.4213
782414,637250,7189250,19,548.2828
782415,638750,7189250,19,551.6552
782416,734750,7189250,19,300.2343
782417,736250,7189250,19,269.7916
782418,737750,7189250,19,249.9619
782419,739250,7189250,19,241.616
782420,740750,7189250,19,236.514
782421,742250,7189250,19,233.6754
782422,743750,7189250,19,231.9557
782423,745250,7189250,19,230.604
782424,746750,7189250,19,229.6213
782425,748250,7189250,19,228.9088
782426,749750,7189250,19,228.2869
782427,751250,7189250,19,227.7407
782428,752750,7189250,19,227.232
782429,754250,7189250,19,226.7471
782430,755750,7189250,19,226.2694
782431,757250,7189250,19,225.7867
782432,758750,7189250,19,225.278
782433,760250,7189250,19,224.7211
782434,761750,7189250,19,224.1049
782435,763250,7189250,19,223.4161
782436,764750,7189250,19,222.6454
782437,766250,7189250,19,221.7813
782438,767750,7189250,19,220.8104
782439,769250,7189250,19,219.7234
782440,770750,7189250,19,218.5164
782441,772250,7189250,19,217.1766
782442,773750,7189250,19,215.6013
782443,775250,7189250,19,213.6886
782444,776750,7189250,19,211.0218
782445,778250,7189250,19,204.4736
782446,779750,7189250,19,206.029
782447,782750,7189250,19,218.2825
782448,784250,7189250,19,220.6351
782449,551750,7187750,19,593.2545
782450,553250,7187750,19,588.8769
782451,554750,7187750,19,571.088
782452,556250,7187750,19,581.5022
782453,562250,7187750,19,610.711
782454,563750,7187750,19,607.0935
782455,596750,7187750,19,593.8634
782456,598250,7187750,19,567.6585
782457,599750,7187750,19,573.0306
782458,601250,7187750,19,552.9793
782459,602750,7187750,19,545.5224
782460,604250,7187750,19,529.7292
782461,605750,7187750,19,503.2011
782462,607250,7187750,19,508.763
782463,608750,7187750,19,484.9717
782464,610250,7187750,19,503.3568
782465,611750,7187750,19,488.8572
782466,613250,7187750,19,485.5748
782467,614750,7187750,19,495.6632
782468,616250,7187750,19,497.2061
782469,617750,7187750,19,512.5848
782470,619250,7187750,19,517.2389
782471,620750,7187750,19,511.5586
782472,622250,7187750,19,506.2992
782473,623750,7187750,19,493.5497
782474,625250,7187750,19,493.5386
782475,626750,7187750,19,501.3222
782476,628250,7187750,19,507.5206
782477,629750,7187750,19,514.3897
782478,631250,7187750,19,522.6351
782479,632750,7187750,19,530.111
782480,634250,7187750,19,535.5015
782481,635750,7187750,19,541.0322
782482,637250,7187750,19,537.251
782483,638750,7187750,19,548.696
782484,736250,7187750,19,258.2245
782485,737750,7187750,19,243.9235
782486,739250,7187750,19,237.7011
782487,740750,7187750,19,234.4804
782488,742250,7187750,19,232.226
782489,743750,7187750,19,230.818
782490,745250,7187750,19,229.7037
782491,746750,7187750,19,228.8624
782492,748250,7187750,19,228.2233
782493,749750,7187750,19,227.6532
782494,751250,7187750,19,227.1517
782495,752750,7187750,19,226.6918
782496,754250,7187750,19,226.2508
782497,755750,7187750,19,225.8106
782498,757250,7187750,19,225.3583
782499,758750,7187750,19,224.8685
782500,760250,7187750,19,224.3267
782501,761750,7187750,19,223.718
782502,763250,7187750,19,223.0302
782503,764750,7187750,19,222.2499
782504,766250,7187750,19,221.361
782505,767750,7187750,19,220.3433
