INODE,X,Y,RCH_SS_m_per_day
781931,598250,7201250,7.6692641e-06
781932,599750,7201250,8.7948129e-06
781933,604250,7201250,9.0557596e-06
781934,610250,7201250,7.5766543e-06
781935,613250,7201250,9.9567878e-06
781936,614750,7201250,1.0332977e-05
781937,616250,7201250,1.0345334e-05
781938,617750,7201250,1.0333767e-05
781939,619250,7201250,1.0296551e-05
781940,620750,7201250,1.0381976e-05
781941,622250,7201250,1.0520784e-05
781942,623750,7201250,1.0826204e-05
781943,625250,7201250,1.1067967e-05
781944,736250,7201250,1.0569999e-05
781945,737750,7201250,1.0577543e-05
781946,739250,7201250,1.0267022e-05
781947,740750,7201250,9.9881136e-06
781948,742250,7201250,9.9473764e-06
781949,743750,7201250,9.7982229e-06
781950,745250,7201250,9.5595487e-06
781951,746750,7201250,9.6243539e-06
781952,748250,7201250,9.6651629e-06
781953,749750,7201250,9.4223215e-06
781954,751250,7201250,9.271228e-06
781955,752750,7201250,9.210733e-06
781956,754250,7201250,8.9895893e-06
781957,755750,7201250,8.7800126e-06
781958,757250,7201250,8.8243423e-06
781959,758750,7201250,8.6590953e-06
781960,760250,7201250,8.2597717e-06
781961,761750,7201250,8.198127e-06
781962,763250,7201250,8.2045217e-06
781963,764750,7201250,8.046818e-06
781964,766250,7201250,7.9595247e-06
781965,767750,7201250,7.9679303e-06
781966,770750,7201250,7.8901212e-06
781967,772250,7201250,7.8427738e-06
781968,781250,7201250,8.5212932e-06
781969,560750,7199750,9.0613639e-06
781970,590750,7199750,8.7073759e-06
781971,592250,7199750,8.648246e-06
781972,593750,7199750,8.6877617e-06
781973,595250,7199750,8.6927912e-06
781974,596750,7199750,8.6745422e-06
781975,598250,7199750,8.7104654e-06
781976,599750,7199750,8.7233257e-06
781977,601250,7199750,8.6431446e-06
781978,602750,7199750,8.7392755e-06
781979,604250,7199750,8.9757232e-06
781980,605750,7199750,8.9702626e-06
781981,607250,7199750,8.9860687e-06
781982,611750,7199750,9.4126217e-06
781983,613250,7199750,9.808281e-06
781984,614750,7199750,1.0196612e-05
781985,616250,7199750,1.025021e-05
781986,617750,7199750,1.0279092e-05
781987,619250,7199750,1.0284265e-05
781988,620750,7199750,1.0402165e-05
781989,622250,7199750,1.0564107e-05
781990,623750,7199750,1.0835185e-05
781991,625250,7199750,1.1061501e-05
781992,739250,7199750,1.0213209e-05
781993,740750,7199750,9.9633262e-06
781994,742250,7199750,9.9759709e-06
781995,743750,7199750,9.8301225e-06
781996,745250,7199750,9.5660143e-06
781997,746750,7199750,9.573846e-06
781998,748250,7199750,9.5627092e-06
781999,749750,7199750,9.3400567e-06
782000,751250,7199750,9.2148284e-06
782001,752750,7199750,9.1747379e-06
782002,754250,7199750,8.9764417e-06
782003,755750,7199750,8.7984054e-06
782004,757250,7199750,8.8548049e-06
782005,758750,7199750,8.6585924e-06
782006,760250,7199750,8.2045935e-06
782007,761750,7199750,7.4944619e-06
782008,763250,7199750,6.847361e-06
782009,764750,7199750,6.7312712e-06
782010,766250,7199750,7.0088795e-06
782011,767750,7199750,7.7225031e-06
782012,769250,7199750,7.8084313e-06
782013,773750,7199750,7.6607867e-06
782014,778250,7199750,7.602519e-06
842104,781250,7199750,8.1409371e-06
782015,556250,7198250,7.2366761e-06
782016,557750,7198250,7.7978702e-06
782017,559250,7198250,8.733241e-06
782018,590750,7198250,8.3214882e-06
782019,592250,7198250,8.3043878e-06
782020,593750,7198250,8.422001e-06
782021,595250,7198250,8.4653248e-06
782022,596750,7198250,8.4592893e-06
782023,598250,7198250,8.455123e-06
782024,599750,7198250,8.434934e-06
782025,601250,7198250,8.3625837e-06
782026,602750,7198250,8.4237254e-06
782027,604250,7198250,8.5882539e-06
782028,605750,7198250,8.562246e-06
782029,607250,7198250,8.5506063e-06
782030,608750,7198250,8.6824448e-06
782031,611750,7198250,8.8370589e-06
782032,613250,7198250,9.2391847e-06
782033,614750,7198250,9.6483509e-06
782034,616250,7198250,9.8226501e-06
782035,617750,7198250,9.9026156e-06
782036,619250,7198250,9.8902583e-06
782037,620750,7198250,9.9393292e-06
782038,622250,7198250,1.0022312e-05
782039,623750,7198250,1.0220681e-05
782040,625250,7198250,1.0367248e-05
782041,626750,7198250,1.0454757e-05
782042,731750,7198250,1.2047165e-05
782043,737750,7198250,1.05039e-05
782044,739250,7198250,1.0193163e-05
782045,740750,7198250,9.9722347e-06
782046,742250,7198250,1.0055146e-05
782047,743750,7198250,9.9183499e-06
782048,745250,7198250,9.6222702e-06
782049,746750,7198250,9.5453224e-06
782050,748250,7198250,9.459538e-06
782051,749750,7198250,9.25729e-06
782052,751250,7198250,9.1791926e-06
782053,752750,7198250,9.2016808e-06
782054,754250,7198250,9.0344938e-06
782055,755750,7198250,8.8929555e-06
782056,757250,7198250,8.983985e-06
782057,758750,7198250,8.7595363e-06
782058,760250,7198250,8.2362776e-06
782059,761750,7198250,6.4614587e-06
782060,763250,7198250,4.756108e-06
782061,764750,7198250,4.617063e-06
782062,766250,7198250,5.518968e-06
782063,767750,7198250,7.5411622e-06
782064,769250,7198250,7.8175563e-06
782065,770750,7198250,7.6821971e-06
782066,773750,7198250,7.749517e-06
782067,776750,7198250,7.5576868e-06
782068,778250,7198250,7.6640199e-06
782069,779750,7198250,7.9320789e-06
842160,790250,7198250,8.9742143e-06
782070,551750,7196750,8.3813356e-06
782071,553250,7196750,8.4155354e-06
782072,554750,7196750,8.4262401e-06
782073,556250,7196750,8.40756e-06
782074,562250,7196750,8.5289093e-06
782075,589250,7196750,8.0776408e-06
782076,590750,7196750,8.1392845e-06
782077,592250,7196750,8.1458229e-06
782078,593750,7196750,8.2803199e-06
782079,595250,7196750,8.3401683e-06
782080,596750,7196750,8.3507293e-06
782081,601250,7196750,8.1923799e-06
782082,602750,7196750,8.2328288e-06
782083,604250,7196750,8.3461309e-06
782084,605750,7196750,8.3186142e-06
782085,607250,7196750,8.2956949e-06
782086,611750,7196750,8.4230069e-06
782087,613250,7196750,8.8344004e-06
782088,614750,7196750,9.2605223e-06
782089,616250,7196750,9.4938086e-06
782090,617750,7196750,9.6097692e-06
782091,619250,7196750,9.6101285e-06
782092,620750,7196750,9.6027279e-06
782093,622250,7196750,9.6189651e-06
782094,623750,7196750,9.7699867e-06
782095,625250,7196750,9.8474375e-06
782096,626750,7196750,9.8456412e-06
782097,628250,7196750,9.8980172e-06
782098,737750,7196750,1.0005787e-05
782099,739250,7196750,9.8221471e-06
782100,740750,7196750,9.7073371e-06
782101,742250,7196750,9.7939837e-06
782102,743750,7196750,9.733345e-06
782103,745250,7196750,9.5724808e-06
782104,746750,7196750,9.5271453e-06
782105,748250,7196750,9.4642801e-06
782106,749750,7196750,9.31879e-06
782107,751250,7196750,9.2649771e-06
782108,752750,7196750,9.2826513e-06
782109,754250,7196750,8.9909545e-06
782110,755750,7196750,8.7349654e-06
782111,757250,7196750,8.7444487e-06
782112,758750,7196750,7.9960228e-06
782113,760250,7196750,6.6059492e-06
782117,766250,7196750,5.7618308e-06
782118,767750,7196750,6.3944044e-06
782119,769250,7196750,6.4486771e-06
782120,770750,7196750,6.4885808e-06
782121,772250,7196750,7.370239e-06
782122,776750,7196750,7.4690997e-06
782123,779750,7196750,7.7521036e-06
842215,784250,7196750,8.203875e-06
842216,790250,7196750,8.8517872e-06
782124,551750,7195250,8.3903888e-06
782125,553250,7195250,8.4539015e-06
782126,554750,7195250,8.4652529e-06
782127,557750,7195250,8.5148267e-06
782128,559250,7195250,8.6504015e-06
782129,560750,7195250,8.6505452e-06
782130,586250,7195250,6.7615833e-06
782131,587750,7195250,7.1869581e-06
782132,589250,7195250,8.2205434e-06
782133,590750,7195250,8.2420975e-06
